7,1,35,2,7,"HTChunkInit@17-23@./WWW/Library/Implementation/HTChunk.c","./WWW/Library/Implementation/HTChunk.c","HTChunkInit","HTChunkInit( HTChunk * ch , int grow)",17,23
8,2,39,1,10,"HTChunkCreate@28-37@./WWW/Library/Implementation/HTChunk.c","./WWW/Library/Implementation/HTChunk.c","HTChunkCreate","HTChunkCreate( int grow)",28,37
14,3,63,2,16,"HTChunkCreateMayFail@39-54@./WWW/Library/Implementation/HTChunk.c","./WWW/Library/Implementation/HTChunk.c","HTChunkCreateMayFail","HTChunkCreateMayFail( int grow , int failok)",39,54
17,4,131,2,21,"HTChunkCreate2@59-79@./WWW/Library/Implementation/HTChunk.c","./WWW/Library/Implementation/HTChunk.c","HTChunkCreate2","HTChunkCreate2( int grow , size_t needed)",59,79
6,1,27,1,6,"HTChunkClear@84-89@./WWW/Library/Implementation/HTChunk.c","./WWW/Library/Implementation/HTChunk.c","HTChunkClear","HTChunkClear( HTChunk * ch)",84,89
10,2,44,1,11,"HTChunkFree@94-104@./WWW/Library/Implementation/HTChunk.c","./WWW/Library/Implementation/HTChunk.c","HTChunkFree","HTChunkFree( HTChunk * ch)",94,104
17,4,97,2,20,"HTChunkRealloc@109-128@./WWW/Library/Implementation/HTChunk.c","./WWW/Library/Implementation/HTChunk.c","HTChunkRealloc","HTChunkRealloc( HTChunk * ch , int growby)",109,128
8,3,52,2,8,"HTChunkPutc@133-140@./WWW/Library/Implementation/HTChunk.c","./WWW/Library/Implementation/HTChunk.c","HTChunkPutc","HTChunkPutc( HTChunk * ch , unsigned c)",133,140
12,2,79,2,13,"HTChunkPutc2@143-155@./WWW/Library/Implementation/HTChunk.c","./WWW/Library/Implementation/HTChunk.c","HTChunkPutc2","HTChunkPutc2( HTChunk * ch , int c)",143,155
12,4,92,2,13,"HTChunkEnsure@160-172@./WWW/Library/Implementation/HTChunk.c","./WWW/Library/Implementation/HTChunk.c","HTChunkEnsure","HTChunkEnsure( HTChunk * ch , int needed)",160,172
12,4,88,3,13,"HTChunkPutb@177-189@./WWW/Library/Implementation/HTChunk.c","./WWW/Library/Implementation/HTChunk.c","HTChunkPutb","HTChunkPutb( HTChunk * ch , const char * b , int l)",177,189
